epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45887,1.27222,3.73244,3.70962,1.45753,0.67375,0.20909,0.13699,0.08702,0.67375,0.20909,0.1369,0.09312,0.73811,1.3049,4.11085,1.15744,0.00010002,0.00010002,0.00010002
2,9.7097,0.9179,1.98597,2.49577,1.23205,0.42289,0.48841,0.45085,0.33644,0.41702,0.47932,0.43548,0.32076,0.69444,1.58223,3.23589,1.15837,0.000214922,0.000214922,0.000214922
3,14.1595,0.849,1.55771,1.82681,1.21682,0.44595,0.61159,0.53171,0.42368,0.43461,0.5934,0.49746,0.35678,0.70556,2.32944,3.39074,1.12112,0.000327899,0.000327899,0.000327899
4,18.5805,0.81868,1.33089,1.41705,1.1113,0.51013,0.2098,0.34188,0.20714,0.49575,0.20071,0.33281,0.2253,1.05309,2.59765,3.20342,1.55561,0.00043895,0.00043895,0.00043895
5,22.9157,0.88542,1.62494,1.4889,1.18907,0.59141,0.36038,0.4011,0.23003,0.59141,0.36038,0.40111,0.25226,1.38842,2.7523,2.63543,1.71237,0.000548076,0.000548076,0.000548076
6,27.2567,0.91742,1.68021,1.36924,1.16659,0.62791,0.37237,0.42265,0.26182,0.56387,0.37166,0.38188,0.2385,1.41501,6.84758,2.12728,1.66819,0.000655277,0.000655277,0.000655277
7,31.6831,0.93698,1.57076,1.35224,1.18224,0.32339,0.2918,0.24445,0.14258,0.31184,0.27362,0.2026,0.10429,1.45759,8.21735,2.21374,1.85495,0.000760552,0.000760552,0.000760552
8,36.0088,0.93434,1.46095,1.34256,1.19314,0.40809,0.49982,0.42176,0.25833,0.14342,0.1631,0.07308,0.04303,1.39113,21.1159,3.6029,1.77049,0.000863902,0.000863902,0.000863902
9,40.3123,0.96503,1.50578,1.3481,1.19876,0.53486,0.33797,0.40672,0.24678,0.48757,0.31475,0.36256,0.22667,1.23427,8.94629,3.30629,1.67536,0.000965326,0.000965326,0.000965326
10,44.6004,0.95897,1.65463,1.34883,1.19246,0.32697,0.43262,0.23057,0.12095,0.26422,0.37594,0.17221,0.10864,1.58802,8.12881,4.95398,2.12262,0.00106483,0.00106483,0.00106483
11,48.893,1.00179,1.79242,1.33292,1.19888,0.56032,0.41391,0.3383,0.2125,0.52933,0.38005,0.3138,0.19244,1.37859,8.96893,4.78143,1.90755,0.0011624,0.0011624,0.0011624
12,53.2131,0.98735,1.54653,1.26842,1.18044,0.22769,0.50481,0.15813,0.07872,0.22288,0.45579,0.14426,0.06142,1.75462,8.64859,13.9355,2.63223,0.00125805,0.00125805,0.00125805
13,57.4998,1.03708,1.72828,1.37157,1.22836,0.66667,0.15686,0.13694,0.05819,0.65625,0.14706,0.12697,0.05037,2.20536,6.28601,9.90649,3.11834,0.00135177,0.00135177,0.00135177
14,62.1383,1.03855,1.52298,1.24095,1.22941,0.16802,0.31497,0.11294,0.04856,0.15279,0.33471,0.0986,0.04226,1.80229,4.56909,5.19926,2.14211,0.00144357,0.00144357,0.00144357
15,68.7963,0.97058,1.51314,1.26027,1.17171,0.24203,0.5754,0.27946,0.13936,0.23152,0.48717,0.26184,0.13151,1.72064,3.70353,3.98514,2.18658,0.00147446,0.00147446,0.00147446
16,74.982,1.0454,1.60629,1.30338,1.24537,0.20942,0.53136,0.17378,0.07327,0.19316,0.46014,0.14611,0.04978,1.65148,6.16339,12.5607,2.17399,0.00146071,0.00146071,0.00146071
17,81.1816,0.92164,1.49042,1.13548,1.17657,0.20082,0.53565,0.19393,0.07927,0.19859,0.49643,0.17748,0.06174,1.71747,5.6737,15.1529,2.2569,0.00144696,0.00144696,0.00144696
18,87.4969,1.02136,1.58628,1.1764,1.21072,0.20479,0.3703,0.2001,0.08543,0.20896,0.35686,0.17572,0.07225,1.927,4.99905,5.68495,2.28687,0.0014332,0.0014332,0.0014332
19,93.7343,0.93725,1.41529,1.05928,1.15705,0.22661,0.37593,0.20439,0.08792,0.19787,0.32121,0.17971,0.08327,2.2224,5.884,3.8366,2.44945,0.00141945,0.00141945,0.00141945
20,100.207,0.88333,1.30499,0.99927,1.1399,0.43963,0.43383,0.39506,0.23943,0.42808,0.41645,0.37647,0.23128,1.39348,3.91416,2.34312,1.81685,0.0014057,0.0014057,0.0014057
21,106.539,0.92425,1.41351,1.00213,1.20147,0.38572,0.55382,0.45218,0.28175,0.38957,0.52763,0.45015,0.27243,1.4244,3.93689,2.53477,1.85277,0.00139195,0.00139195,0.00139195
22,112.696,0.92061,1.39893,1.085,1.16593,0.49712,0.35544,0.38263,0.21643,0.47636,0.32816,0.34094,0.18889,1.59179,5.0955,2.65871,1.93151,0.00137819,0.00137819,0.00137819
23,118.785,0.89027,1.33609,0.98276,1.11933,0.51254,0.32745,0.38101,0.22107,0.33914,0.36881,0.31173,0.18311,1.48846,5.87015,2.20941,1.85506,0.00136444,0.00136444,0.00136444
24,124.931,0.84752,1.31095,0.97507,1.09586,0.59476,0.35276,0.38578,0.23923,0.53976,0.33458,0.35452,0.21072,1.3569,3.81381,1.84862,1.82429,0.00135069,0.00135069,0.00135069
25,131.009,0.83774,1.33771,0.9265,1.10029,0.48002,0.41711,0.36477,0.21546,0.48002,0.41711,0.36112,0.20965,1.39146,4.04598,1.70538,1.84271,0.00133693,0.00133693,0.00133693
26,137.067,0.90774,1.32041,0.99033,1.16738,0.51475,0.5221,0.46186,0.2834,0.50113,0.51301,0.44233,0.26277,1.36287,4.11639,1.95528,1.70242,0.00132318,0.00132318,0.00132318
27,143.235,0.82707,1.34167,0.89157,1.11353,0.39657,0.54242,0.45386,0.29736,0.38876,0.52282,0.42984,0.26242,1.23444,4.09957,1.78632,1.60215,0.00130943,0.00130943,0.00130943
28,149.454,0.86824,1.30716,0.94249,1.12652,0.43491,0.52618,0.45058,0.27646,0.40221,0.47522,0.40383,0.2191,1.29551,4.60464,1.8824,1.61879,0.00129568,0.00129568,0.00129568
29,155.612,0.83519,1.27378,0.88813,1.09622,0.35599,0.47528,0.34882,0.23125,0.32905,0.48476,0.32508,0.19374,1.24978,4.31896,2.6313,1.51492,0.00128192,0.00128192,0.00128192
30,161.921,0.85176,1.33307,0.9369,1.13567,0.40842,0.26239,0.28457,0.17202,0.41207,0.26239,0.27641,0.1666,1.55327,3.64608,3.2114,1.74933,0.00126817,0.00126817,0.00126817
31,168.292,0.85858,1.2867,0.89664,1.1081,0.30745,0.2631,0.24535,0.1447,0.29581,0.25401,0.23125,0.13309,1.54532,3.47893,2.10951,1.71205,0.00125442,0.00125442,0.00125442
32,174.591,0.84361,1.27391,0.92109,1.09981,0.50052,0.3164,0.35308,0.22076,0.50052,0.3164,0.34909,0.22073,1.30839,2.58714,1.80951,1.57257,0.00124066,0.00124066,0.00124066
33,180.777,0.80771,1.25205,0.88904,1.093,0.39304,0.54724,0.43676,0.2893,0.39401,0.54669,0.42901,0.28382,1.1569,2.53488,1.55375,1.47051,0.00122691,0.00122691,0.00122691
34,187.108,0.82513,1.17353,0.80707,1.09556,0.49034,0.45062,0.43081,0.30609,0.54328,0.40815,0.42607,0.27404,1.06616,3.01144,1.67004,1.48396,0.00121316,0.00121316,0.00121316
35,193.196,0.76273,1.17892,0.80362,1.09641,0.43365,0.68235,0.51895,0.38801,0.48774,0.54029,0.50305,0.34617,1.0671,3.02314,1.67009,1.45025,0.00119941,0.00119941,0.00119941
36,199.575,0.74208,1.12588,0.77638,1.06195,0.62891,0.58021,0.6115,0.46025,0.62891,0.58021,0.59657,0.43806,0.91766,2.90191,1.53442,1.27952,0.00118565,0.00118565,0.00118565
37,205.795,0.7572,1.13062,0.76435,1.08622,0.68441,0.60758,0.63432,0.45967,0.68441,0.60758,0.62375,0.44987,0.98422,2.51816,1.48747,1.30561,0.0011719,0.0011719,0.0011719
38,212.244,0.76693,1.11144,0.7576,1.0731,0.53134,0.54795,0.531,0.37318,0.51634,0.53815,0.52839,0.36449,0.94647,2.74335,1.31347,1.30906,0.00115815,0.00115815,0.00115815
39,218.29,0.76474,1.09784,0.79763,1.06773,0.64927,0.50927,0.55805,0.38761,0.63249,0.49992,0.53915,0.3727,1.10553,2.25819,1.47237,1.42212,0.0011444,0.0011444,0.0011444
40,224.549,0.80511,1.13998,0.79064,1.07901,0.46871,0.53802,0.48096,0.32563,0.45827,0.53048,0.48518,0.31133,1.03546,2.31009,1.53392,1.36709,0.00113064,0.00113064,0.00113064
41,230.802,0.74691,1.04162,0.78377,1.07278,0.48217,0.48289,0.46753,0.3237,0.46325,0.4738,0.45193,0.3088,1.03189,2.20821,1.52663,1.36831,0.00111689,0.00111689,0.00111689
42,237.003,0.74544,1.05213,0.72955,1.05232,0.5997,0.40951,0.50491,0.37661,0.65063,0.38913,0.49567,0.37051,0.99341,2.04422,1.41182,1.32429,0.00110314,0.00110314,0.00110314
